"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"481","Beach Hotel","Metropolitan","Double AC",5,"3","1",100,6,2,186,3606,3,"2","2",14,1
"482","Hotel Chitra","Urban","Single Non AC",34,"3","0",50,10,5,70,778,11,"2","1",18,4
"483","Hotel Parth Executive","Urban","Double AC",10,"3","0",100,6,5,104,1450,2,"2","2",14,4
"484","Krishna Lodge","Urban","Double Non AC",0,"5","0",100,6,2,145,556,2,"2","2",15,4
"485","Sri Harshitha Residency","Urban","Single Non AC",3,"3","0",100,6,2,2,378,2,"1","1",18,4
"486","Hotel Shri Swarnas Palace","Urban","Single Non AC",14,"3","0",75,6,2,119,1090,9,"1","1",18,4
"487","Hotel Sayonara","Urban","Double AC",0,"3","0",100,6,2,89,1144,2,"2","2",14,4
"488","Shiva River View Paying Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,2,68,667,16,"2","2",15,1
"489","Hotel Western Classic Inn","Urban","Single Non AC",0,"3","0",100,6,4,100,1327,11,"1","1",18,4
"490","Pavitni Guest House","Metropolitan","Double Non AC",0,"4","0",100,6,6,113,709,11,"2","2",15,1
"491","Hotel Elite International","Urban","Double Non AC",16,"3","0",0,0,4,90,1160,11,"2","2",15,4
"492","Hotel Chobdar Haveli","Semi-urban","Double AC",10,"3","0",100,6,3,145,4445,2,"2","2",14,3
"493","The Classic Hotel","Urban","Single Non AC",0,"3","0",100,6,8,126,1950,2,"2","1",18,4
"494","Hotel Terrace","Urban","Double AC",0,"3","0",100,6,2,101,1067,2,"2","2",14,4
"495","Hotel J S Residency","Metropolitan","Single AC",0,"3","0",100,6,2,115,3300,13,"2","1",17,1
"496","Kovilakam Residency","Urban","Double Non AC",2,"3","0",100,24,8,84,1520,9,"2","2",15,4
"497","Hotel Aryan","Urban","Double Non AC",0,"3","0",100,6,5,2,550,2,"2","2",15,4
"498","Akshay Residency","Urban","Double AC",0,"3","0",100,13,5,127,1383,6,"2","2",14,4
"499","Hotel Meria","Metropolitan","Single Non AC",5,"3","0",100,9,2,131,1026,9,"1","1",18,1
"500","Vishalakshi Paying Guest House","Metropolitan","Double Non AC",9,"4","0",100,6,2,123,556,12,"2","2",15,1
"501","Hotel Ibras","Urban","Cottage",20,"3","0",100,6,2,71,1200,4,"2","3",12,4
"502","Stella Inn Prakash","Metropolitan","Double AC",6,"3","0",100,6,2,115,4000,5,"2","2",14,1
"503","Shanti Palace","Metropolitan","Single Non AC",11,"3","0",100,6,4,99,1067,9,"2","1",18,1
"504","Hotel Dvr Mansion Kurnool","Urban","Single AC",9,"3","0",100,6,11,142,2075,5,"1","1",17,4
"505","Prem Homestay","Metropolitan","Double Non AC",49,"2","1",100,6,2,45,1417,9,"0","2",15,1
"506","KR Inn Hotel","Urban","Double AC",6,"3","0",100,6,2,2,3359,2,"2","2",14,4
"507","The River Retreat Heritage Ayurvedic Resort","Urban","Single AC",11,"6","0",100,6,2,115,2223,7,"2","1",17,4
"508","Bandana Guest House","Metropolitan","Double AC",27,"4","1",100,6,2,374,2000,12,"2","2",14,1
"509","River Bay Resort","Urban","Single Non AC",12,"6","0",100,6,2,108,2343,2,"2","1",18,4
"510","Braj Villa Homestay","Metropolitan","Single Non AC",5,"2","1",100,6,5,14,1778,9,"0","1",18,1
"511","2BHK Bungalow In Lonavala","Semi-urban","2 BHK",5,"3","0",100,6,2,2,13334,2,"2","15",3,3
"512","Hotel Shanti Inn","Metropolitan","Double AC",8,"3","0",100,6,2,29,1334,10,"2","2",14,1
"513","Ramsons International","Metropolitan","Single AC",22,"3","0",100,6,3,100,1290,2,"1","1",17,1
"514","Shanthi Guest House","Metropolitan","Single Non AC",12,"4","0",100,6,2,128,1067,12,"1","1",18,1
"515","Assi River Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,108,719,11,"2","2",15,1
"516","Hotel Fortune Blue","Urban","Suite",32,"3","0",100,6,12,20,1245,2,"2","2",19,4
"517","Hotel Malabar Gate","Metropolitan","Single Non AC",6,"3","0",100,6,5,127,2558,2,"2","1",18,1
"518","Hotel Guru","Urban","Single Non AC",0,"3","0",100,13,6,137,834,11,"2","1",18,4
