"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"664","Club 7 Hotel","Urban","Single AC",0,"3","0",100,6,6,143,1718,2,"2","2",17,4
"665","Paraslaxmi Homestay","Metropolitan","Double Non AC",0,"2","1",100,6,2,135,2778,2,"2","2",15,1
"666","Centurion Hotel","Urban","Single Non AC",0,"3","0",100,6,3,138,623,5,"1","1",18,4
"667","Ramya Residency","Urban","Single Non AC",5,"3","0",100,6,3,87,450,2,"1","1",18,4
"668","Zostel Varanasi","Metropolitan","Dormitary",0,"3","0",100,6,2,96,425,13,"2","1",13,1
"669","Alamanda Guest House","Urban","Double Non AC",0,"4","0",100,6,8,122,1549,2,"2","2",15,4
"670","Hotel Yuvraj Inn","Urban","Single AC",4,"3","0",100,6,5,101,667,2,"2","1",17,4
"671","Kedar Guest House","Metropolitan","Single Non AC",4,"4","0",100,6,2,117,383,13,"2","1",18,1
"672","Hotel Heritage Thikana","Urban","Double AC",5,"3","0",100,6,2,112,1700,2,"2","2",14,4
"673","Apex Inn Tourist Home","Metropolitan","Single Non AC",7,"3","0",75,1,5,136,608,2,"1","1",18,1
"674","Hotel Royal Kington","Metropolitan","Single Non AC",6,"3","0",50,1,6,136,1570,8,"1","1",18,1
"675","Harmony Woods","Semi-urban","Double AC",6,"3","0",100,6,2,114,5667,2,"2","6",14,3
"676","Hotel Sharda","Metropolitan","Double Non AC",0,"3","0",100,6,4,84,1043,2,"2","2",15,1
"677","Gautam Lodging Service","Urban","Double AC",0,"3","0",100,6,7,2,1844,11,"2","2",14,4
"678","Hotel Jaipuria","Metropolitan","Double Non AC",43,"3","0",100,6,2,2,626,10,"2","2",15,1
"679","Queens Hotel","Metropolitan","Single Non AC",5,"3","0",100,6,2,95,876,3,"1","1",18,1
"680","Hotel Neelam","Metropolitan","Single Non AC",0,"3","0",100,6,3,2,334,2,"2","1",18,1
"681","Hotel Anand Continental","Urban","Single Non AC",5,"3","0",25,1,3,85,1569,2,"2","1",18,4
"682","Hotel Nisa","Metropolitan","Double Non AC",0,"3","0",100,6,5,88,1477,9,"2","2",15,1
"683","Hotel Ramyas","Urban","Single AC",14,"3","0",100,6,2,128,2286,14,"2","1",17,4
"684","Deepak Lodge","Urban","Double Non AC",0,"5","0",100,6,2,2,367,2,"2","2",15,4
"685","Hotel Ashok","Urban","Double Non AC",0,"3","0",50,1,4,2,650,2,"2","2",15,4
"686","Bhawani Palace","Metropolitan","Single AC",9,"3","0",100,6,2,148,916,5,"1","1",17,1
"687","Shivakashi Guest House","Metropolitan","Double Non AC",14,"4","0",100,6,2,141,473,14,"2","2",15,1
"688","Hotel SK Riviera","Urban","Cottage",4,"3","0",100,6,2,93,888,2,"2","2",12,4
"689","Hotel Vijay Shree Deluxe","Metropolitan","One Day Use",35,"3","0",100,6,2,134,2360,10,"2","1",16,1
"690","Hotel Vishwamitra International","Urban","Double Non AC",0,"3","0",100,6,6,125,955,12,"2","2",15,4
"691","Akanksha Inn","Urban","Single AC",15,"3","0",100,24,3,121,1152,5,"2","1",17,4
"692","Hotel Vinayak International","Metropolitan","Double AC",2,"3","0",100,6,2,106,1814,11,"2","2",14,1
"693","The Jack Fruit Tree At Beach","Metropolitan","Double AC",9,"3","1",100,6,4,93,6223,2,"2","2",14,1
"694","Kadamb Sahyadri Hotel","Semi-urban","Double Non AC",26,"3","0",100,11,2,114,1156,2,"2","2",15,3
"695","Hotel Aakash Ganga","Metropolitan","Single Non AC",0,"3","0",100,6,2,2,534,8,"1","1",18,1
"696","Hotel Harsha Regency","Urban","Single AC",0,"3","0",100,6,6,91,1586,13,"1","1",17,4
"697","Carnoustie Beach Resorts And Spa","Urban","Double Non AC",0,"6","0",100,6,2,141,32620,2,"2","6",15,4
"698","Sasya Pride","Urban","Single AC",0,"3","0",100,6,6,116,2025,7,"1","1",17,4
"699","Hotel Metro Tower","Metropolitan","Single Non AC",4,"3","0",36,1,5,132,517,2,"2","1",18,1
"700","Cocobay Resort","Metropolitan","Single Non AC",11,"6","0",0,0,2,159,3670,14,"2","1",18,1
"701","KSR Royal Fort","Urban","Double Non AC",0,"3","0",100,6,2,115,1273,2,"2","2",15,4
"702","Rashmi Guest House","Metropolitan","Double AC",16,"4","0",100,6,3,102,2906,11,"2","2",14,1
"703","HKJ International","Metropolitan","Single AC",13,"3","0",100,6,2,2,1667,11,"2","1",17,1
"704","Hotel Relax","Urban","Single Non AC",6,"3","0",100,1,2,113,445,2,"1","1",18,4
"705","Ram Janki Guest House","Urban","Double Non AC",0,"4","0",100,6,3,2,200,2,"2","2",15,4
"706","Chanakya Inn","Metropolitan","One Day Use",39,"3","0",100,6,2,111,1690,11,"2","1",16,1
"707","Atithi Satkaar Hotel","Metropolitan","Double Non AC",10,"3","0",100,6,6,118,1563,12,"2","2",15,1
"708","Hotel Rajavihar Deluxe","Urban","Single Non AC",0,"3","0",100,6,3,135,1302,9,"1","1",18,4
"709","Hotel Lakeview","Rural","Double Non AC",7,"3","0",100,6,2,85,1334,2,"2","2",15,2
"710","Panchami Hotel","Urban","Double Non AC",0,"3","0",100,6,5,2,950,4,"2","2",15,4
"711","SRM Hotel","Urban","Double Non AC",43,"3","0",100,6,2,124,3112,5,"2","2",15,4
"712","Hotel Imphal","Urban","Single Non AC",0,"3","0",100,6,2,2,1800,2,"2","1",18,4
"713","Hotel Apollo","Urban","Single Non AC",0,"3","0",100,18,2,2,889,2,"1","1",18,4
"714","Om Guest House","Metropolitan","Single Non AC",3,"4","0",100,6,5,133,237,10,"1","1",18,1
"715","Hotel Kailash","Urban","Double AC",0,"3","0",100,6,6,2,945,3,"2","2",14,4
"716","Sakila Homestay","Metropolitan","Single Non AC",21,"2","1",100,6,3,21,473,2,"0","1",18,1
"717","Hotel Golden Drive","Urban","Double AC",0,"3","0",100,6,5,2,1334,2,"2","2",14,4
"718","Jyoti Hotel","Urban","Double AC",12,"3","0",100,6,6,34,2770,3,"2","2",14,4
"719","Rockfort Residency","Urban","2 BHK",14,"3","0",100,6,2,107,3465,2,"2","4",3,4
"720","Palace On Ganges","Metropolitan","Double Non AC",8,"3","0",100,6,2,136,9243,3,"2","2",15,1
"721","(*)Ganga Monastery","Metropolitan","Double AC",5,"3","0",100,6,2,121,3788,10,"2","2",14,1
"722","Sai Krishna River View","Urban","Single Non AC",4,"3","0",100,12,2,105,420,2,"2","1",18,4
"723","Hotel Vibhav Harsh","Metropolitan","Double AC",16,"3","0",100,6,2,146,2760,11,"2","1",14,1
"724","Grand Gardenia","Urban","Single Non AC",14,"3","0",100,6,2,149,2804,4,"2","1",18,4
"725","Sunrise Hotel","Urban","Single AC",6,"3","0",100,6,7,133,1145,2,"2","1",17,4
"726","Chembil Tourist Home","Urban","Dormitary",0,"3","0",100,6,2,83,250,10,"2","25",13,4
"727","Patliputra Ashok","Metropolitan","Single Non AC",16,"3","0",100,6,2,105,6809,2,"2","1",18,1
"728","Harivihar Ayurvedic Heritage Home","Metropolitan","Single Non AC",13,"3","0",100,6,4,82,5895,2,"2","1",18,1
"729","Hotel Annamalai","Urban","Double Non AC",9,"3","0",50,1,2,137,1210,4,"2","2",15,4
"730","Apani Dhani Ecolodge","Urban","Double Non AC",3,"5","0",100,6,5,93,1617,2,"2","2",15,4
"731","Sarweshwary Hotel","Metropolitan","Double Non AC",0,"3","0",100,6,5,92,1138,12,"2","2",15,1
"732","Vivaana Culture Hotel","Urban","Double Non AC",6,"3","0",100,6,5,118,7655,2,"2","2",15,4
"733","Anami Lodge","Metropolitan","Single Non AC",10,"5","0",100,6,3,39,405,19,"1","1",18,1
"734","Hotel Silver Sand","Urban","Double AC",6,"3","0",100,6,2,93,1733,12,"2","2",14,4
"735","Hotel City Heart","Urban","Double Non AC",0,"3","0",100,6,2,2,712,4,"2","2",15,4
"736","Manaka Guest House","Metropolitan","Single Non AC",7,"4","1",100,19,4,32,332,13,"0","1",18,1
"737","Hotel Elena","Metropolitan","Double Non AC",12,"3","0",100,6,2,126,826,13,"2","2",15,1
"738","Hotel Urvasi Lodge","Urban","Double Non AC",11,"5","0",100,6,2,131,845,2,"2","2",15,4
"739","VMS Homestay With Breakfast","Metropolitan","Double Non AC",15,"2","1",100,6,5,13,2220,5,"1","2",15,1
"740","K R Grand Residency","Urban","Double AC",2,"3","0",100,6,2,132,2878,5,"2","2",14,4
"741","Hotel Royal Ville","Metropolitan","Single Non AC",14,"3","0",100,6,2,141,2194,11,"2","1",18,1
"742","Hotel Sonas","Urban","Single Non AC",22,"3","0",100,6,2,118,1604,12,"2","1",18,4
"743","Sai Krishna Residency A/c Lodge","Urban","Double AC",0,"5","0",100,6,3,68,1423,4,"2","2",14,4
"744","Raj Guest House","Metropolitan","Double Non AC",46,"4","0",100,6,5,108,600,10,"2","2",15,1
"745","Hotel Relax Inn","Metropolitan","Single AC",11,"3","0",100,6,5,34,1253,12,"1","1",17,1
"746","Namdev Dharamshala","Urban","Double Non AC",0,"3","0",100,6,2,120,334,2,"2","2",15,4
"747","The Renaissance Hotel","Metropolitan","Double Non AC",4,"3","0",50,1,5,104,778,2,"2","2",15,1
"748","Hotel La Revival","Semi-urban","Double Non AC",12,"3","0",100,6,2,81,2846,6,"2","2",15,3
"749","Kerala House Boat Premium","Urban","Double AC",0,"4","0",100,6,2,98,7556,7,"2","2",14,4
"750","Vijey Hotel","Urban","Single AC",27,"3","0",100,6,2,105,1238,10,"2","1",17,4
"751","Ashoka Inn","Urban","Single AC",3,"3","0",100,6,6,137,3540,2,"1","1",17,4
"752","Hotel Suraj Grand","Urban","Double AC",0,"3","0",100,1,7,132,1907,6,"2","2",14,4
"753","The Vaishali Residency","Urban","Single AC",11,"3","0",100,6,6,130,5690,2,"1","1",17,4
"754","Gulfishan Homestay","Metropolitan","Double AC",35,"2","1",100,6,3,2,1417,9,"0","2",14,1
"755","Hotel Sanwariya Bhagwan","Urban","Double Non AC",3,"3","0",100,6,3,97,700,2,"2","2",15,4
"756","Hotel Aalcajars Inn","Metropolitan","Double Non AC",68,"3","0",100,6,5,2,4387,10,"1","2",15,1
"757","Space & Spice","Metropolitan","Single AC",34,"7","0",100,6,2,142,1458,11,"2","1",17,1
"758","Paramount Tower","Metropolitan","Single AC",5,"3","0",100,6,6,114,3207,2,"1","1",17,1
"759","Aroma Hotel","Urban","Double AC",27,"3","0",100,6,9,127,4666,2,"2","2",14,4
"760","Geeta Paying Guest House","Metropolitan","Single Non AC",2,"4","0",100,6,2,2,278,2,"2","1",18,1
"761","Royal Tourist Home palakkad town","Urban","Single Non AC",11,"3","0",100,11,2,143,515,2,"1","1",18,4
"762","Juna Akhara","Metropolitan","Dormitary",12,"3","0",100,6,2,2,78,12,"2","1",13,1
"763","Ganges Stop Guest House","Metropolitan","Double Non AC",5,"4","0",100,6,3,129,709,13,"2","2",15,1
"764","Marina Residency","Metropolitan","Double AC",5,"3","0",100,11,2,146,2969,9,"2","2",14,1
"765","Jyoti Hotel","Metropolitan","Double Non AC",14,"3","0",100,6,3,108,1067,8,"2","2",15,1
"766","Hotel Ashraya Residency","Urban","Double AC",7,"3","0",100,23,5,120,1245,2,"2","2",14,4
"767","Suganthi Residency","Urban","Single Non AC",16,"3","0",25,21,5,139,1000,2,"2","1",18,4
"768","Aquarius Cottage","Metropolitan","Cottage",7,"3","1",100,1,2,177,3334,2,"2","6",12,1
"769","Hotel Athidhi Regency","Urban","Single AC",4,"3","0",100,6,3,2,1454,13,"1","1",17,4
"770","Hotel New Airlines","Urban","Single Non AC",0,"3","0",67,1,2,2,878,2,"1","1",18,4
"771","Anubhav Homestay","Metropolitan","Double AC",37,"2","1",100,6,3,37,1417,9,"1","2",14,1
"772","Vasundhara Sarovar Premiere","Urban","Double AC",13,"3","0",100,6,8,126,8334,2,"2","2",14,4
"773","Hotel Palace Tower","Urban","Double Non AC",1,"3","0",100,21,8,143,1139,11,"2","2",15,4
"774","Hotel Siddharth Deoli","Urban","Double Non AC",0,"3","0",100,6,3,108,473,2,"2","2",15,4
"775","Woodlands Lodge","Urban","Single Non AC",0,"5","0",100,1,5,92,316,2,"1","1",18,4
"776","Ali Baba Guest House","Metropolitan","Double Non AC",9,"4","0",100,6,2,102,623,14,"2","2",15,1
"777","White Water Woods Resorts","Metropolitan","Single Non AC",6,"6","0",100,6,2,131,889,2,"1","1",18,1
"778","Backwater Ripples","Metropolitan","Double Non AC",12,"3","0",100,6,2,152,6259,11,"2","2",15,1
"779","Hotel Nawalgarh Plaza","Urban","Single Non AC",15,"3","0",100,6,11,125,2222,2,"2","1",18,4
"780","Sonmony Hotel","Metropolitan","Double Non AC",7,"3","0",100,6,2,121,538,3,"2","2",15,1
"781","Hotel Sathyam","Urban","One Day Use",26,"3","0",100,1,5,149,1112,5,"2","1",16,4
"782","The Corporate Residence","Metropolitan","Single AC",49,"3","0",100,6,2,111,667,7,"1","1",17,1
"783","Mezbaan Regency","Urban","Double Non AC",9,"3","0",50,1,7,142,1958,12,"2","2",15,4
"784","Hotel Raj Mahal","Metropolitan","Double Non AC",15,"3","0",100,6,2,116,832,11,"2","2",15,1
"785","Hotel Castle Mandawa","Semi-urban","Single Non AC",16,"3","0",100,6,2,150,7094,2,"2","1",18,3
"786","Royal King Resort","Metropolitan","Single AC",29,"6","0",100,6,2,109,1949,12,"2","1",17,1
"787","Rudra Houseboats","Metropolitan","Single Non AC",16,"4","0",50,1,2,101,7778,2,"2","2",18,1
"788","Hotel King Paradise","Urban","Single AC",19,"3","0",100,6,2,56,1684,10,"1","1",17,4
"789","Aditya Houseboat","Urban","10 BHK",0,"4","0",100,6,2,107,3889,2,"2","20",2,4
"790","Hotel Pinky","Urban","Double Non AC",9,"3","0",100,6,5,99,824,11,"2","2",15,4
"791","Nilma Homestay","Metropolitan","Double Non AC",14,"2","0",100,6,4,6,1889,12,"1","2",15,1
"792","Hotel Temple In","Urban","Single Non AC",24,"3","0",67,1,2,96,658,2,"1","1",18,4
"793","Lakesong Resort","Metropolitan","Double AC",8,"6","0",100,6,5,101,4778,8,"2","2",14,1
"794","Siva Balaji Residency","Urban","Double Non AC",9,"3","0",100,6,4,94,687,2,"2","2",15,4
"795","Savera Business Luxury Hotel","Metropolitan","Single AC",18,"3","0",100,6,2,52,2877,8,"2","1",17,1
"796","Hotel NG Paradise","Urban","Single Non AC",3,"3","0",100,6,5,120,1525,2,"2","1",18,4
"797","Dukes Retreat","Semi-urban","Double Non AC",25,"3","0",100,6,2,171,19925,2,"2","2",15,3
"798","Hotel R P International","Metropolitan","Single Non AC",23,"3","0",100,6,5,103,1203,11,"1","1",18,1
"799","Moms Care Paying Guest House","Metropolitan","Single Non AC",18,"4","1",100,6,8,13,445,17,"0","1",18,1
"800","Sita Guest House","Metropolitan","Double Non AC",63,"4","0",100,6,7,151,1156,10,"2","2",15,1
"801","Hotel Laavish","Metropolitan","Double AC",9,"3","0",100,6,6,116,2030,9,"2","2",14,1
"802","Hotel Lord Shiva","Metropolitan","Single AC",24,"3","0",100,15,9,6,1039,12,"0","1",17,1
"803","Bini Tourist Home","Urban","Double Non AC",3,"3","0",100,6,7,2,1014,3,"2","2",15,4
"804","Ashoka Residency","Metropolitan","Double AC",8,"3","0",100,6,2,125,2323,2,"2","2",14,1
"805","Highway Palace Inn","Urban","Double Non AC",6,"3","0",100,6,4,118,1112,11,"2","2",15,4
"806","Kundan Guest House","Urban","Double AC",4,"4","0",100,6,2,2,2223,16,"2","2",14,4
"807","Hotel Republic","Metropolitan","Single AC",116,"3","0",100,6,2,127,2735,8,"1","1",17,1
"808","Alam Residency","Urban","Single AC",19,"3","0",100,7,2,117,1458,12,"1","1",17,4
"809","Kanishkaa Inn(As)","Urban","Double Non AC",0,"3","0",100,6,2,99,1438,6,"2","2",15,4
"810","Fariyas Holiday Resort","Semi-urban","Double Non AC",26,"6","0",0,0,2,96,9412,2,"2","2",15,3
"811","Hotel luciya palace","Urban","Single AC",5,"3","0",100,6,14,140,2863,5,"1","1",17,4
"812","Hotel Anjani","Urban","Double Non AC",1,"3","0",100,6,8,105,889,10,"2","2",15,4
"813","Hotel Sama","Metropolitan","Double Non AC",0,"3","0",100,6,5,2,834,2,"2","2",15,1
"814","Hotel Jetty Grand","Urban","Single AC",7,"3","0",100,24,3,141,1493,8,"1","1",17,4
"815","Hotel Bheigo","Urban","Single Non AC",9,"3","0",34,1,3,135,889,3,"2","1",18,4
"816","Dream city centre","Urban","One Day Use",6,"3","0",100,6,4,170,223,2,"2","1",16,4
"817","Hot Sizzlers Resort","Urban","Double AC",8,"6","0",100,6,9,117,1500,2,"2","2",14,4
"818","Madhuban Delux Lodge","Urban","Single Non AC",0,"5","0",100,6,3,2,500,2,"2","1",18,4
"819","Ajay Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,118,1134,2,"2","2",15,1
"820","Marilyn Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,125,662,14,"2","2",15,1
"821","Hotel Royal Sathyam","Urban","Single Non AC",6,"3","0",100,6,2,88,1353,6,"2","1",18,4
"822","Sudarshan Palace Lodge","Urban","Dormitary",0,"5","0",100,6,2,84,167,2,"2","11",13,4
"823","The Varanasi Rest House","Metropolitan","Single Non AC",2,"4","0",100,6,2,2,223,2,"2","1",18,1
"824","Carnival Resort","Urban","Double AC",35,"6","0",100,6,5,139,2413,2,"2","2",14,4
"825","Grey Pelican","Urban","Double AC",0,"3","0",100,6,6,2,2415,2,"2","2",14,4
"826","Hotel Desert N Dunes","Semi-urban","Single AC",3,"3","0",100,6,5,145,2917,2,"2","1",17,3
"827","Nvr Hotels","Urban","Single AC",0,"3","0",100,6,3,2,1000,2,"2","1",17,4
"828","Hotel Galaxy Inn","Urban","Double AC",4,"3","0",100,6,2,116,1417,9,"2","2",14,4
"829","Hotel Shantai","Urban","Double Non AC",10,"3","0",100,7,7,129,1053,6,"2","2",15,4
"830","Prabha Paying Guest House","Metropolitan","Double Non AC",26,"4","1",100,6,8,3,756,14,"1","2",15,1
"831","Hotel Buddha Heritage","Metropolitan","Single AC",11,"3","0",100,6,2,130,3334,2,"2","1",17,1
"832","Hotel Bhavya","Urban","Double Non AC",0,"3","0",100,6,3,104,945,5,"2","2",15,4
"833","Raman Hotel","Urban","Double AC",0,"3","0",100,6,4,148,1889,3,"2","2",14,4
"834","Executive Holiday","Metropolitan","Single AC",13,"3","0",100,6,2,2,2420,12,"2","1",17,1
"835","Iris Business Hotel","Metropolitan","Double AC",7,"3","0",100,6,2,2,4596,10,"2","2",14,1
"836","Sri Sai Satram","Metropolitan","4 Bedded Non AC",7,"3","0",100,6,2,2,945,2,"2","4",7,1
"837","Hotel Corporate Inn","Metropolitan","Single AC",14,"3","0",100,6,6,124,2734,9,"2","1",17,1
"838","Sagar Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,106,445,15,"2","2",15,1
"839","Hotel Deva Inn","Metropolitan","Double AC",15,"3","0",100,6,4,63,1536,12,"2","2",14,1
"840","The Ark Wellness Retreat","Metropolitan","Single AC",6,"3","0",100,6,6,77,6827,2,"1","1",17,1
"841","Hotel Premiere Villa","Metropolitan","Double AC",21,"8","0",100,6,2,135,3082,13,"2","2",14,1
"842","Hotel Pearl Regency","Urban","Single Non AC",14,"3","0",0,24,4,147,1133,11,"1","1",18,4
"843","Ammu Regency","Urban","Single Non AC",8,"3","0",22,1,6,129,1223,11,"1","1",18,4
"844","Tamilnadu Guest House","Metropolitan","Double AC",14,"4","0",100,6,2,93,1334,3,"2","2",14,1
"845","Hotel Athidi Regency","Urban","Single AC",0,"3","0",100,6,6,129,1500,13,"2","1",17,4
"846","Hotel Isha","Semi-urban","Double Non AC",7,"3","0",100,6,2,125,1865,7,"2","2",15,3
"847","Platinum Renai Green Fields","Metropolitan","Double Non AC",7,"3","0",100,6,5,135,4056,4,"2","2",15,1
"848","BAS Regency","Urban","Double AC",0,"3","0",100,6,4,87,1276,7,"2","2",14,4
"849","The Raviz Calicut","Metropolitan","Double AC",4,"3","0",100,6,5,235,7872,2,"1","3",14,1
"850","Hotel Orbit","Urban","Double AC",0,"3","0",100,6,4,89,1600,7,"2","2",14,4
"851","Hotel Venkatesh","Metropolitan","Single Non AC",15,"3","0",100,6,8,89,445,7,"2","1",18,1
"852","The Mourya Inn","Urban","Single Non AC",37,"3","0",100,6,13,85,1432,13,"2","1",18,4
"853","Hotel Udayshree Palace","Urban","Single Non AC",0,"3","0",100,6,3,94,594,6,"1","1",18,4
"854","Maruti Guest House","Metropolitan","Double Non AC",3,"4","0",100,6,3,147,473,15,"2","2",15,1
"855","Hotel RB International","Metropolitan","Single Non AC",7,"3","0",0,0,2,108,712,12,"1","1",18,1
"856","Avantika Resort","Metropolitan","Double AC",0,"6","0",100,6,2,116,1123,2,"2","2",14,1
"857","Eden Valley Resort","Urban","Double Non AC",9,"6","0",100,24,2,131,1000,2,"2","2",15,4
"858","Sri Iswarya Residency","Urban","Single Non AC",4,"3","0",100,6,2,129,620,3,"1","1",18,4
"859","Copper Folia","Metropolitan","Single Non AC",4,"3","0",100,6,3,141,4078,2,"2","1",18,1
"860","Hotel Ashoka","Semi-urban","Double Non AC",23,"3","0",0,0,2,83,1200,2,"2","2",15,3
"861","Hotel Nupur Chakan","Metropolitan","Double Non AC",11,"3","0",100,6,7,100,1145,3,"2","2",15,1
"862","Bethesda Home Stay(AS)","Urban","Double Non AC",4,"3","1",100,6,2,137,612,2,"2","2",15,4
"863","Sri Ratna Lodge","Urban","Single Non AC",9,"5","0",100,6,2,122,334,4,"1","1",18,4
"864","Hotel Vishwanath","Metropolitan","Double Non AC",62,"3","0",100,6,2,121,2083,8,"2","2",15,1
"865","Hotel Mayas","Urban","Double Non AC",21,"3","0",100,6,5,136,1549,12,"2","2",15,4
"866","Hotel Span","Metropolitan","Single Non AC",5,"7","0",100,6,3,158,1050,9,"1","1",18,1
"867","Rajesh Homestay","Metropolitan","Double Non AC",9,"2","0",100,6,5,6,1417,9,"1","2",15,1
"868","Hotel Udai Vilas Palace","Semi-urban","Double AC",4,"3","0",100,6,11,136,4314,3,"2","2",14,3
"869","Hotel Om Palace","Semi-urban","Double Non AC",29,"3","0",100,6,2,2,1512,2,"2","2",15,3
"870","Khushi Paying Guest House","Metropolitan","Double Non AC",11,"4","0",100,6,2,136,712,15,"2","2",15,1
"871","Hotel Royal Garden","Urban","Double Non AC",0,"3","0",100,6,2,2,926,4,"2","2",15,4
"872","Sandhya Guest House","Metropolitan","Double Non AC",5,"4","0",100,6,2,49,445,17,"2","2",15,1
"873","Ashirwad Heritage Resorts","Metropolitan","Double Non AC",7,"6","0",100,6,2,124,4667,13,"2","2",15,1
"874","Hotel Singhasan Haveli","Semi-urban","Single AC",5,"3","0",100,6,7,133,1423,8,"2","1",17,3
"875","Dr Modis Health Resort","Rural","Double AC",7,"6","0",100,6,7,139,5698,2,"2","2",14,2
"876","The Varanasi Rest House","Metropolitan","Double Non AC",1,"4","1",100,6,4,2,378,10,"0","2",15,1
"877","Maa Somaria Guest House-1","Metropolitan","Double Non AC",46,"4","0",100,6,2,99,889,2,"2","2",15,1
"878","Shree Hare Rama Hare Krishna Guest House","Metropolitan","Single Non AC",10,"4","0",100,6,4,113,400,11,"1","1",18,1
"879","Hotel Banaras Haveli","Metropolitan","Single AC",25,"3","0",100,6,2,107,4920,9,"2","1",17,1
"880","Arunima Heritage Homes","Urban","Double Non AC",0,"3","0",100,6,3,156,800,9,"2","2",15,4
"881","Sangam Hotel Trichy","Urban","Single Non AC",10,"3","0",100,13,2,103,3334,2,"2","1",18,4
"882","Basant Vihar Hotel","Urban","Double Non AC",0,"3","0",100,6,2,2,500,2,"2","2",15,4
"883","Brand Residency","Metropolitan","Double Non AC",8,"3","1",100,6,2,9,1417,6,"2","2",15,1
"884","Hotel Amudham Residency","Urban","Single Non AC",10,"3","0",100,6,2,88,807,10,"1","1",18,4
"885","Hotel Prakash","Metropolitan","Double AC",0,"3","0",100,6,3,2,1300,2,"2","2",14,1
"886","SI hotel and Resorts","Metropolitan","Double Non AC",2,"6","0",100,6,7,12,2834,2,"2","2",15,1
"887","Hotel S V Regency","Urban","Single AC",12,"3","0",100,6,3,125,1563,12,"1","1",17,4
"888","Ishan Paying Guest House","Metropolitan","Single Non AC",4,"4","0",100,6,4,131,489,17,"2","2",18,1
"889","Hotel New Mega Palace","Metropolitan","Single Non AC",22,"3","0",100,6,2,93,637,6,"1","1",18,1
"890","Hotel Royale Park","Urban","Double AC",9,"3","0",100,6,3,132,2827,3,"2","2",14,4
"891","Hotel Emarald","Metropolitan","Double AC",6,"3","0",100,6,2,94,2778,10,"2","2",14,1
"892","Marari Beach Paradise","Urban","Double Non AC",0,"3","0",100,6,2,2,3319,8,"2","2",15,4
"893","Patliputra Homestay","Metropolitan","Double Non AC",29,"2","1",100,1,4,147,1417,10,"1","2",15,1
"894","Green Farm Holidays","Urban","Double AC",0,"3","0",100,6,2,79,6612,10,"2","2",14,4
"895","Welcome Guest House","Urban","Double Non AC",0,"4","0",100,6,4,2,300,2,"2","2",15,4
"896","Hotel Astor","Metropolitan","Single AC",12,"3","0",100,6,2,125,2687,9,"2","1",17,1
"897","Hotel Devasura Inn","Urban","Double Non AC",18,"3","0",100,6,4,121,1459,5,"2","2",15,4
"898","Hotel Temple On Ganges","Metropolitan","Double AC",9,"3","0",100,6,2,100,1875,12,"2","2",14,1
"899","Star hotel","Urban","Double AC",0,"3","0",100,6,3,2,1113,2,"2","2",14,4
"900","Marigold P Guest House","Metropolitan","Single Non AC",0,"4","0",100,6,2,127,473,2,"1","1",18,1
"901","Hotel Rich Garden","Urban","Double Non AC",1,"3","0",100,6,3,99,556,2,"2","2",15,4
"902","Hotel Saffron","Urban","Double Non AC",20,"3","0",100,6,8,137,1719,11,"2","2",15,4
"903","Shankar Vilas Lodge","Urban","Single Non AC",0,"5","0",100,6,3,2,250,2,"1","1",18,4
"904","Abhay Hotels And Resorts","Metropolitan","Double Non AC",5,"6","0",100,6,2,135,1576,5,"2","2",15,1
"905","Hotel Bessota International","Urban","Single Non AC",0,"3","0",100,6,2,142,1543,2,"2","1",18,4
"906","Jubilee Homestay","Urban","5 Bedded AC",4,"2","1",100,6,2,91,4723,2,"2","5",8,4
"907","Hotel Sunrise","Metropolitan","Double Non AC",14,"3","0",100,6,2,152,500,14,"2","2",15,1
"908","Hotel Akash Lodging","Urban","Single Non AC",0,"3","0",100,6,4,2,389,2,"1","1",18,4
"909","Krishna Hotel","Urban","Double Non AC",0,"3","0",100,6,5,132,350,2,"2","2",15,4
"910","Hotel Cresent Villa","Metropolitan","Single AC",4,"8","0",100,6,8,149,2907,12,"2","1",17,1
"911","Gokul Cruise Houseboats","Urban","Single Non AC",0,"4","0",100,6,2,114,9445,2,"2","1",18,4
"912","Ganga Tourist Lodge","Metropolitan","Single Non AC",12,"5","0",100,6,2,316,830,11,"1","1",18,1
"913","Hotel Kimaya","Urban","Double AC",10,"3","0",100,9,5,102,1390,3,"2","2",14,4
"914","Dynasty Paying Guest House","Metropolitan","Double Non AC",1,"4","0",100,6,2,4,889,2,"1","2",15,1
"915","Mega Tourist Home","Urban","Double Non AC",13,"3","0",100,6,2,140,473,3,"2","2",15,4
"916","Mullackal homestay","Urban","Single Non AC",43,"2","1",100,6,7,138,1267,10,"2","1",18,4
"917","Lodge Gopal Shri","Urban","Single Non AC",0,"5","0",100,6,4,2,334,2,"1","1",18,4
"918","Hotel Royal House","Metropolitan","Single AC",47,"4","0",100,6,2,177,1880,2,"2","1",17,1
"919","Pavitri Guest House","Metropolitan","Double Non AC",10,"4","0",100,6,2,86,709,14,"2","2",15,1
